server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"eng-USA","unitconverter20","QuickDialog","b908e92105bb91b5217bc8cb649bbb555b6f3264"
"eng-USA","datetime","QuickNLU","9180e2cd44f13806f821496bd70dfe0e12aa7661"
"eng-USA","datetime","QuickDialog","3e53f5bc3f9eedc6a24c906a7b8993db52558978"
"eng-GBR","sport20","QuickDialog","2294b8b87e59418a89f836626097fd4a27422278"
"deu-DEU","sonicdmlr2","QuickNLU","2df983d0c09826597e05d53223538bb366b5c719"
"eng-GBR","calculator20","QuickDialog","121324feb41c66417fb278fc5810ca29fb7fb717"
"deu-DEU","calculator20","QuickDialog","97b087b0eedd299d1872045fb0a38752cda11013"
"eng-USA","unitconverter","QuickDialog","b908e92105bb91b5217bc8cb649bbb555b6f3264"
"ita-ITA","selfnlps","QuickNLU","ef7b54837c0a5d52e781c74eb6ba991cb21c5162"
"eng-USA","chatbot20","QuickDialog","a32514ca607d0449fc7b1392ca25ab4e7884810f"
"cmn-CHN","chatbot","QuickDialog","435696a870cdb8c7754fcdbcce9c46f06717ab49"
"tur-TUR","sonicdmlr2","QuickNLU","3bf6bac0bdc4462dc296b3653ca44479d78baf88"
"eng-MYS","selfntg6x2","QuickNLU","51aaba27fb2904dcb2bb8ab48fca97186bcdf5e5"
"eng-CHN","chatbot20","QuickDialog","8c64ec836555188acc7dce109a6aff1b79d191ae"
"deu-DEU","ico","QuickDialog","7242256d7d51034431d5c312c5da451c454c3a4f"
"eng-GBR","chatbot","QuickDialog","a0e7450d988585cb40e52498182106769aeb35ad"
"eng-USA","ico","QuickDialog","b343b9462e18e4cb474552a645313d1ad83ea5f7"
"swe-SWE","chatbot","QuickDialog","b555b3e4cfaa0d0b892e3aeff410fe22913cd9bc"
"cmn-CHN","chatbot20","QuickDialog","435696a870cdb8c7754fcdbcce9c46f06717ab49"
"deu-DEU","cityevent","QuickDialog","bce4085ec75a520a4b8ebefdc5f22827bffbd803"
"eng-GBR","datetime","QuickDialog","23d114ff7e30343ac6291823fc6371261b90fb25"
"eng-USA","selfntg6x2","QuickNLU","6ceca5ca27bca4b0d2c9c37db0187bad475673f0"
"ita-ITA","chatbot","QuickDialog","baaa12743f88048fe78c2f7392796793327a2554"
"deu-DEU","horoscope20","QuickDialog","235bc9f7c4b1c6d29253e03ad7b262631764a211"
"deu-DEU","unitconverter","QuickDialog","0bef96414990a7ebaecf8466932b3511d08a78a7"
"eng-USA","geoquiz","QuickDialog","14cde4b8b109177e340635d3df2d6913793151a8"
